Company,Ticker,match_score,matched_name,needs_review
DENEB INVESTMENTS LIMITED,DNB.JO,100.0,Deneb Investments Ltd,False
DEUTSCHE KONSUM REIT-AG,,0.0,,True
DIPULA PROPERTIES LIMITED,DIB.JO,100.0,Dipula Properties Ltd,False
DIS-CHEM PHARMACIES LIMITED,DCP.JO,100.0,Dis-Chem Pharmacies Ltd,False
DISCOVERY LIMITED,DSY.JO,100.0,Discovery Ltd,False
DRDGOLD LIMITED,DRD.JO,98.33333333333333,DRD Gold Ltd,False
EASTERN PLATINUM LIMITED,EPS.JO,100.0,Eastern Platinum Ltd,False
EFORA ENERGY LIMITED,EEL.JO,100.0,Efora Energy Limited,False
ELEVATE URANIUM LIMITED,,0.0,,True
ELLIES HOLDINGS LIMITED,,0.0,,True
eMEDIA HOLDINGS LIMITED,EMH.JO,92.3076923076923,E Media Holdings Ltd,False
EMIRA PROPERTY FUND LIMITED,EMI.JO,105.0,Emira Property Fund Ltd,False
enX GROUP LIMITED,ENX.JO,105.0,enX Group LImited,False
EPE CAPITAL PARTNERS LIMITED,,0.0,,True
EQUITES PROPERTY FUND LIMITED,EQU.JO,94.47368421052632,Equites Prop Fund Ltd,False
EUROPA METALS LIMITED,EUZ.JO,100.0,Europa Metals Limited,False
EXEMPLAR REITAIL LIMITED,EXP.JO,100.0,Exemplar REITail Ltd,False
EXXARO RESOURCES LIMITED,EXX.JO,105.0,Exxaro Resources Ltd,False
FAIRVEST LIMITED,FTB.JO,88.88888888888889,Fairvest Limited B,False
FAMOUS BRANDS LIMITED,FBR.JO,100.0,Famous Brands Ltd,False
FINBOND GROUP LIMITED,FGL.JO,100.0,Finbond Group Ltd,False
FIRSTRAND LIMITED,FSR.JO,100.0,Firstrand Ltd,False
FIRSTRAND LIMITED,FSR.JO,100.0,Firstrand Ltd,False
FIRSTRAND NAMIBIA LIMITED,,0.0,,True
FORSYS METALS CORPORATION,,0.0,,True
FORTRESS REAL ESTATE INVESTMENTS LIMITED,FFB.JO,76.36363636363637,Fortress Real Est Inv B,False
FRONTIER PROPERTY FUND LIMITED,,0.0,,True
FRONTIER TRANSPORT HOLDINGS LIMITED,FTH.JO,81.81818181818183,Frontier Transport Hldg Ld,False
GEMFIELDS GROUP LIMITED,GML.JO,100.0,Gemfields Group Limited,False
GLENCORE PLC,,0.0,,True
GLOBE TRADE CENTRE S.A.,,0.0,,True
GOLD FIELDS LIMITED,GFI.JO,100.0,Gold Fields Ltd,False
GRAND PARADE INVESTMENTS LIMITED,GPL.JO,80.0,Grand Parade Inv Ltd,False
GREENCOAT RENEWABLES PLC,,0.0,,True
GRINDROD LIMITED,GND.JO,100.0,Grindrod Ltd,False
GROWTHPOINT PROPERTIES LIMITED,GRT.JO,84.21052631578947,Growthpoint Prop Ltd,False
HAMMERSON PLC,HMN.JO,100.0,Hammerson plc,False
HARMONY GOLD MINING COMPANY LIMITED,,0.0,,True
HERIOT REIT LIMITED,,0.0,,True
HOSKEN CONSOLIDATED INVESTMENTS LIMITED,HCI.JO,65.21739130434783,Hosken Cons Inv Ltd,False
HUDACO INDUSTRIES LIMITED,HDC.JO,100.0,Hudaco Industries Ltd,False
HUGE GROUP LIMITED,HUG.JO,105.0,Huge Group Ltd,False
HULAMIN LIMITED,HLM.JO,100.0,Hulamin Ltd,False
HYPROP INVESTMENTS LIMITED,HYP.JO,76.42857142857143,Hyprop Inv Ltd,False
IMPALA PLATINUM HOLDINGS LIMITED,IMP.JO,90.71428571428571,Impala Platinum Hlgs Ltd,False
INSIMBI INDUSTRIAL HOLDINGS LIMITED,ISB.JO,68.57142857142857,Insimbi Ind Hldgs Ltd,False
INVESTEC LIMITED,,0.0,,True
INVESTEC LIMITED,,0.0,,True
INVESTEC PLC,INP.JO,100.0,Investec plc,False
INVICTA HOLDINGS LIMITED,IVT.JO,100.0,Invicta Holdings Ltd,False
iOCO LIMITED,IOC.JO,105.0,iOCO Limited,False
ISA HOLDINGS LIMITED,ISA.JO,105.0,ISA Holdings Limited,False
ITALTILE LIMITED,ITE.JO,100.0,Italtile Ltd,False
JSE LIMITED,JSE.JO,105.0,JSE Ltd,False
JUBILEE METALS GROUP PLC,JBL.JO,100.0,Jubilee Metals Group plc,False
KAL GROUP LIMITED,KAL.JO,105.0,KAL Group Limited,False
KAP LIMITED,KAP.JO,105.0,KAP Limited,False
KAROOOOO LIMITED,,0.0,,True
KIBO ENERGY PLC,KBO.JO,100.0,Kibo Energy plc,False
KORE POTASH PLC,,0.0,,True
KORYX COPPER INC,,0.0,,True
KUMBA IRON ORE LIMITED,KIO.JO,100.0,Kumba Iron Ore Ltd,False
LABAT AFRICA LIMITED,LAB.JO,105.0,Labat Africa Ltd,False
LESAKA TECHNOLOGIES INC,LSK.JO,100.0,Lesaka Technologies Inc,False
LETSHEGO HOLDINGS (NAMIBIA) LIMITED,,0.0,,True
LEWIS GROUP LIMITED,LEW.JO,105.0,Lewis Group Ltd,False
LIBSTAR HOLDINGS LIMITED,LBR.JO,100.0,Libstar Holdings Ltd,False
LIFE HEALTHCARE GROUP HOLDINGS LIMITED,LHC.JO,70.27027027027027,Life Healthc Grp Hldgs Ltd,False
LIGHTHOUSE PROPERTIES PLC,LTE.JO,100.0,Lighthouse Properties plc,False
MAHUBE INFRASTRUCTURE LIMITED,MHB.JO,100.0,Mahube Infrastructure Ltd,False
MANTENGU MINING LIMITED,MTU.JO,100.0,Mantengu Mining Limited,False
MARSHALL MONTEAGLE PLC,MMP.JO,100.0,Marshall Monteagle plc,False
MAS PLC,,0.0,,True
MASTER DRILLING GROUP LIMITED,MDI.JO,88.23529411764706,Master Drilling Grp Ltd,False
MC MINING LIMITED,MCZ.JO,100.0,MC Mining Limited,False
MERAFE RESOURCES LIMITED,MRF.JO,100.0,Merafe Resources Ltd,False
METAIR INVESTMENTS LIMITED,MTA.JO,100.0,Metair Investments Ltd,False
METROFILE HOLDINGS LIMITED,MFL.JO,100.0,Metrofile Holdings Ltd,False
MOBILE TELECOMMUNICATIONS LIMITED (MTC),,0.0,,True
MOMENTUM GROUP LIMITED,MTM.JO,100.0,Momentum Group Limited,False
MOMENTUM GROUP LIMITED,MTM.JO,100.0,Momentum Group Limited,False
MONDI PLC,MNP.JO,100.0,Mondi plc,False
MONTAUK RENEWABLES INC,MKR.JO,100.0,Montauk Renewables Inc,False
MOTUS HOLDINGS LIMITED,MTH.JO,100.0,Motus Holdings Ltd,False
MPACT LIMITED,MPT.JO,100.0,Mpact Limited,False
MR PRICE GROUP LIMITED,MRP.JO,100.0,Mr Price Group Ltd,False
MTN GROUP LIMITED,MTN.JO,105.0,MTN Group Ltd,False
MULTICHOICE GROUP LIMITED,MCG.JO,100.0,MultiChoice Group Ltd,False
MURRAY & ROBERTS HOLDINGS LIMITED,MUR.JO,105.0,Murray And Roberts Holdings Ltd,False
MUSTEK LIMITED,MST.JO,100.0,Mustek Ltd,False
NAMIBIA ASSET MANAGEMENT LIMITED,,0.0,,True
NAMIBIA BREWERIES,,0.0,,True
NAMPAK LIMITED,NPK.JO,100.0,Nampak Ltd,False
NASPERS LIMITED,NPN.JO,87.5,Naspers Ltd -N-,False
NEDBANK GROUP LIMITED,NED.JO,105.0,Nedbank Group Ltd,False
NEDBANK GROUP LIMITED,NED.JO,105.0,Nedbank Group Ltd,False
NEPI ROCKCASTLE N.V,NRP.JO,100.0,NEPI Rockcastle N.V.,False
NETCARE LIMITED,NTC.JO,100.0,Netcare Limited,False
NEWPARK REIT LIMITED,,0.0,,True
NICTUS HOLDINGS LIMITED,,0.0,,True
NICTUS LIMITED,NCS.JO,100.0,Nictus Ltd,False
NINETY ONE LIMITED,NY1.JO,100.0,Ninety One Limited,False
NINETY ONE PLC,N91.JO,100.0,Ninety One plc,False
NORTHAM PLATINUM HOLDINGS LIMITED,NPH.JO,84.21052631578947,Northam Platinum Hldgs Ltd,False
NOVUS HOLDINGS LIMITED,NVS.JO,100.0,Novus Holdings Limited,False
NUMERAL LIMITED,XII.JO,100.0,Numeral Limited,False
NUTUN LIMITED,NTU.JO,100.0,Nutun Limited,False
NU-WORLD HOLDINGS LIMITED,NWL.JO,72.72727272727273,Nu-World Hldgs Ltd,False
OANDO PLC,OAO.JO,100.0,Oando plc,False
OASIS CRESCENT PROPERTY FUND,OAS.JO,97.3076923076923,Oasis Crescent Prop Fund,False
OCEANA GROUP LIMITED,OCE.JO,105.0,Oceana Group Ltd,False
OCEANA GROUP LIMITED,OCE.JO,105.0,Oceana Group Ltd,False
OCTODEC INVESTMENTS LIMITED,OCT.JO,89.84848484848484,Octodec Invest Ltd,False
OLD MUTUAL LIMITED,OMU.JO,100.0,Old Mutual Limited,False
OLD MUTUAL LIMITED,OMU.JO,100.0,Old Mutual Limited,False
OMNIA HOLDINGS LIMITED,OMN.JO,105.0,Omnia Holdings Ltd,False
ORION MINERALS LIMITED,ORN.JO,100.0,Orion Minerals Limited,False
ORYX PROPERTIES LIMITED,,0.0,,True
OUTsurance GROUP LIMITED,OUT.JO,105.0,OUTsurance Group Limited,False
PALADIN ENERGY LIMITED,,0.0,,True
PAN AFRICAN RESOURCES PLC,PAN.JO,102.5609756097561,Pan African Resource plc,False
PARATUS NAMIBIA HOLDINGS LIMITED,,0.0,,True
PBT GROUP LIMITED,PBG.JO,100.0,PBT Group Limited,False
PEPKOR HOLDINGS LIMITED,PPH.JO,100.0,Pepkor Holdings Ltd,False
PICK N PAY STORES LIMITED,PIK.JO,100.0,Pick n Pay Stores Ltd,False
POWERFLEET INC,PWR.JO,100.0,PowerFleet Inc,False
PPC LIMITED,PPC.JO,105.0,PPC Limited,False
PREMIER GROUP LIMITED,PMR.JO,100.0,Premier Group Limited,False
PRIMARY HEALTH PROPERTIES PLC,,0.0,,True
PRIMESERV GROUP LIMITED,PMV.JO,100.0,Primeserv Group Ltd,False
PROSUS N.V,PRX.JO,100.0,Prosus N.V.,False
PSG FINANCIAL SERVICES LIMITED,KST.JO,84.21052631578947,PSG Fin Services Ltd,False
PSG FINANCIAL SERVICES LIMITED,KST.JO,84.21052631578947,PSG Fin Services Ltd,False
PSV HOLDINGS LIMITED,,0.0,,True
