4SIGHT HOLDINGS LIMITED | 4SI.JO
KAROOOOO LIMITED | 
KIBO ENERGY PLC | KBO.JO
KORE POTASH PLC | 
KORYX COPPER INC | 
KUMBA IRON ORE LIMITED | KIO.JO
LABAT AFRICA LIMITED | LAB.JO
LESAKA TECHNOLOGIES INC | LSK.JO
LETSHEGO HOLDINGS (NAMIBIA) LIMITED | 
LEWIS GROUP LIMITED | LEW.JO
LIBSTAR HOLDINGS LIMITED | LBR.JO
LIFE HEALTHCARE GROUP HOLDINGS LIMITED | LHC.JO
LIGHTHOUSE PROPERTIES PLC | LTE.JO
MAHUBE INFRASTRUCTURE LIMITED | MHB.JO
MANTENGU MINING LIMITED | MTU.JO
MARSHALL MONTEAGLE PLC | MMP.JO
MAS PLC | 
MASTER DRILLING GROUP LIMITED | MDI.JO
MC MINING LIMITED | MCZ.JO
MERAFE RESOURCES LIMITED | MRF.JO
METAIR INVESTMENTS LIMITED | MTA.JO
METROFILE HOLDINGS LIMITED | MFL.JO
MOBILE TELECOMMUNICATIONS LIMITED (MTC) | 
MOMENTUM GROUP LIMITED | MTM.JO
MOMENTUM GROUP LIMITED | MTM.JO
MONDI PLC | MNP.JO
MONTAUK RENEWABLES INC | MKR.JO
MOTUS HOLDINGS LIMITED | MTH.JO
MPACT LIMITED | MPT.JO
MR PRICE GROUP LIMITED | MRP.JO
MTN GROUP LIMITED | MTN.JO
MULTICHOICE GROUP LIMITED | MCG.JO
MURRAY & ROBERTS HOLDINGS LIMITED | MUR.JO
MUSTEK LIMITED | MST.JO
NAMIBIA ASSET MANAGEMENT LIMITED | 
NAMIBIA BREWERIES | 
NAMPAK LIMITED | NPK.JO
NASPERS LIMITED | NPN.JO
NEDBANK GROUP LIMITED | NED.JO
NEDBANK GROUP LIMITED | NED.JO
NEPI ROCKCASTLE N.V | NRP.JO
NETCARE LIMITED | NTC.JO
NEWPARK REIT LIMITED | 
NICTUS HOLDINGS LIMITED | 
NICTUS LIMITED | NCS.JO
NINETY ONE LIMITED | NY1.JO
NINETY ONE PLC | N91.JO
NORTHAM PLATINUM HOLDINGS LIMITED | NPH.JO
NOVUS HOLDINGS LIMITED | NVS.JO
NUMERAL LIMITED | XII.JO
NUTUN LIMITED | NTU.JO
NU-WORLD HOLDINGS LIMITED | NWL.JO
OANDO PLC | OAO.JO
OASIS CRESCENT PROPERTY FUND | OAS.JO
OCEANA GROUP LIMITED | OCE.JO
OCEANA GROUP LIMITED | OCE.JO
OCTODEC INVESTMENTS LIMITED | OCT.JO
OLD MUTUAL LIMITED | OMU.JO
OLD MUTUAL LIMITED | OMU.JO
OMNIA HOLDINGS LIMITED | OMN.JO
ORION MINERALS LIMITED | ORN.JO
ORYX PROPERTIES LIMITED | 
OUTsurance GROUP LIMITED | OUT.JO
PALADIN ENERGY LIMITED | 
PAN AFRICAN RESOURCES PLC | PAN.JO
PARATUS NAMIBIA HOLDINGS LIMITED | 
PBT GROUP LIMITED | PBG.JO
PEPKOR HOLDINGS LIMITED | PPH.JO
PICK N PAY STORES LIMITED | PIK.JO
POWERFLEET INC | PWR.JO
PPC LIMITED | PPC.JO
PREMIER GROUP LIMITED | PMR.JO
PRIMARY HEALTH PROPERTIES PLC | 
PRIMESERV GROUP LIMITED | PMV.JO
PROSUS N.V | PRX.JO
PSG FINANCIAL SERVICES LIMITED | KST.JO
PSG FINANCIAL SERVICES LIMITED | KST.JO
PSV HOLDINGS LIMITED | 
PURPLE GROUP LIMITED | PPE.JO
PUTPROP LIMITED | PPR.JO
QUANTUM FOODS HOLDINGS LIMITED | 
QUILTER PLC | QLT.JO
RAINBOW CHICKEN LIMITED | RBO.JO
RANDGOLD & EXPLORATION COMPANY LIMITED | RNG.JO
RAUBEX GROUP LIMITED | RBX.JO
RCL FOODS LIMITED | RCL.JO
RECONNAISSANCE ENERGY AFRICA LIMITED | 
REDEFINE PROPERTIES LIMITED | RDF.JO
REINET INVESTMENTS S.C.A | RNI.JO
REMGRO LIMITED | REM.JO
RENERGEN LIMITED | REN.JO
RESILIENT REIT LIMITED | RES.JO
REUNERT LIMITED | RLO.JO
REX TRUEFORM GROUP LIMITED | RTN.JO
RFG HOLDINGS LIMITED | RFG.JO
RH BOPHELO LIMITED | RHB.JO
RMB HOLDINGS LIMITED | RMH.JO
SA CORPORATE REAL ESTATE LIMITED | SAC.JO
SABLE EXPLORATION AND MINING LIMITED | SXM.JO
SABVEST CAPITAL LIMITED | SBP.JO
SAFARI INVESTMENTS (RSA) LIMITED | SAR.JO
SAIL MINING GROUP LIMITED | 
SALUNGANO GROUP LIMITED | 
SANLAM LIMITED | SLM.JO
SANTAM LIMITED | SNT.JO
SANTOVA LIMITED | SNV.JO
SAPPI LIMITED | SAP.JO
SASOL LIMITED | SOL.JO
SAVANNA BEEF PROCESSORS LIMITED | 
